Transaction_Amount,Account_Age_Days,Time_Since_Last_Transaction,Transactions_Last_24h,Transactions_Last_7d,Avg_Transaction_Amount_7d,Avg_Transaction_Amount_30d,Distance_From_Home_Location,Device_Risk_Score,Merchant_Risk_Score,Velocity_Transactions_1h,Velocity_Transactions_24h,Chargeback_History_Count,Failed_Login_Count,Session_Duration,IP_Risk_Score,Behavioral_Anomaly_Score,Card_Usage_Frequency,Credit_Limit_Utilization,Geo_Location_Risk,Transaction_Hour,Days_Since_Last_Address_Change,Num_Unique_Merchants_7d,Amount_Deviation_From_Avg,Email_Domain_Age_Days,Num_Cards_On_Account,Previous_Fraud_Reports,Merchant_Category,Transaction_Channel,Device_Type,Payment_Method,Country_Code,Account_Type,Card_Presence,Customer_Segment,Merchant_Size,Authentication_Type,Transaction_Day_Of_Week,Card_Type,Email_Provider,Fraud_Label,Time
158.54,998,11.97,2,11,121.14,121.02,5.03,14.2,33.5,0,4,0,1,133.8,2.5,12.6,18.2,0.287,10.1,7,601,2,37.52,3002,2,0,entertainment,POS,mobile_app,credit_card,GB,student,present,regular,large,pin,Thursday,visa,gmail.com,0,5.96849005
20.22,1020,21.31,3,12,13.02,12.23,55.14,32.1,15.7,1,6,0,0,900.1,15.8,7.4,13.9,0.315,0,14,807,3,7.99,1873,2,0,health,online,mobile_app,debit_card,US,business,not_present,vip,large,none,Monday,mastercard,hotmail.com,0,8.000553386058982
75.19,1172,27.25,2,7,69.35,66.19,18.99,4.1,2.2,1,2,0,0,216.3,6.7,17.4,12.5,0.157,0,15,546,7,9,2535,1,0,grocery,online,mobile_app,credit_card,US,personal,not_present,regular,large,3d_secure,Tuesday,amex,hotmail.com,0,9.036682521204693
11.11,1011,36.78,1,11,13.26,13.53,2.24,12.6,13.6,0,1,0,0,199.1,36.7,19.6,18.5,0.234,17.9,14,586,2,-2.42,1537,1,1,entertainment,POS,mobile_browser,digital_wallet,FR,premium,present,vip,medium,pin,Tuesday,mastercard,outlook.com,0,9.175121343849082
48.38,1316,0.74,5,7,32.97,37.34,8.7,10.6,20.7,1,2,1,0,484.8,28.9,16.3,33.7,0.681,51.8,16,415,3,11.04,1946,1,1,online_services,POS,mobile_app,debit_card,US,business,present,vip,enterprise,biometric,Wednesday,visa,gmail.com,0,9.291515157323886
26.43,1499,24.8,3,14,22.52,19.66,7.75,12.4,44.7,0,1,1,0,221.1,0,0,24.9,0.227,0,12,574,1,6.78,1876,2,0,grocery,POS,desktop,digital_wallet,US,personal,not_present,inactive,small,3d_secure,Tuesday,visa,gmail.com,0,9.409029782566595
65.63,1370,7.36,2,11,119.88,141.03,6.87,0,32.9,0,8,0,2,234.9,34.2,4.4,3.7,0.103,8.2,15,1015,3,-75.39,2645,2,0,electronics,mobile,desktop,digital_wallet,GB,premium,present,regular,large,biometric,Tuesday,visa,other,0,9.619426945653672
258.72,1339,15.68,1,10,135.85,152.91,6.55,20.4,16,0,1,0,0,130.5,15.3,4,7.1,0.485,0,23,589,4,105.81,2504,1,0,restaurant,ATM,desktop,debit_card,BR,personal,present,regular,large,3d_secure,Monday,amex,outlook.com,0,10.050905087552968
117.73,825,8.2,2,15,110.99,111.76,19.99,25.8,47.1,0,3,0,1,187.4,23.5,4.8,16,0.457,14.7,17,412,2,5.97,1521,1,0,restaurant,POS,tablet,credit_card,CN,student,not_present,inactive,medium,signature,Thursday,amex,outlook.com,0,10.378916586285563
16.27,2268,24.41,3,10,10.92,10.13,19.29,6.6,30.2,0,1,1,0,88,4.2,9.2,8.1,0.396,9.4,1,658,3,6.14,2139,2,0,grocery,mobile,mobile_app,credit_card,US,personal,present,regular,medium,3d_secure,Monday,mastercard,outlook.com,0,10.578565921966849
45.45,843,29.37,0,16,34.77,32.58,9.32,19.6,31.9,0,1,0,0,94.8,7.7,7.7,17.5,0.229,25.8,16,789,5,12.87,1598,2,2,gas_station,POS,mobile_app,credit_card,FR,business,not_present,new,large,3d_secure,Friday,mastercard,gmail.com,0,11.127461028828732
43.06,1200,23.66,3,8,57.92,63.51,14.55,21.6,13.7,0,3,0,0,38.9,18.2,94.5,8.3,0.247,6.2,13,595,2,-20.44,2055,5,0,health,POS,desktop,credit_card,US,personal,present,regular,small,biometric,Tuesday,discover,gmail.com,0,11.214597055490588
62.33,1261,33.5,1,9,60.8,55.26,9.47,0,9.4,0,2,0,0,501.6,0,15.4,10.3,0.35,30.8,14,585,4,7.07,1501,7,0,health,online,desktop,credit_card,US,business,present,inactive,large,3d_secure,Tuesday,visa,gmail.com,0,11.414996052451981
51.29,1771,26.99,1,11,74.7,35.72,16.43,24.3,18.1,0,1,0,0,245.1,13.2,0,30.2,0.578,32.3,21,570,5,15.57,1641,5,0,travel,POS,mobile_browser,credit_card,NG,personal,present,regular,large,signature,Friday,discover,gmail.com,0,11.679636839020072
6.44,1366,30.94,1,12,11.31,10.57,3.95,42.4,29.6,1,3,0,0,194,16.5,9.7,36.5,0.286,3,9,548,2,-4.13,2504,1,1,travel,online,mobile_app,digital_wallet,US,personal,not_present,regular,medium,signature,Thursday,mastercard,outlook.com,0,12.03281895797874
36.71,951,22.14,3,4,42.76,40.58,11.21,30.8,36.1,1,2,1,0,380.9,0,21.6,18.9,0.465,14.7,17,610,4,-3.87,2974,1,0,grocery,POS,mobile_browser,digital_wallet,US,premium,not_present,regular,large,signature,Wednesday,visa,outlook.com,0,12.92482184437667
14.13,1327,27.53,4,9,24.02,24.52,0.81,36.7,7.9,0,3,0,4,198.5,3.3,16.9,31.7,0.285,18.1,14,484,4,-10.39,2546,1,0,health,POS,mobile_app,credit_card,IN,business,not_present,vip,medium,biometric,Tuesday,visa,gmail.com,0,13.05400864441131
11.6,1291,30.78,0,9,8.76,10.21,367.02,21.5,18.8,0,2,0,0,168.2,17.3,15.1,16.4,0.125,7,7,437,3,1.39,1792,2,0,electronics,POS,mobile_app,debit_card,DE,personal,present,inactive,small,3d_secure,Wednesday,visa,hotmail.com,0,13.472785554330525
6.9,1205,5.55,1,12,6.13,6.71,9.63,8.8,42,0,3,0,0,71.9,19.6,2.5,17.7,0.048,36,14,1010,6,0.19,2141,2,0,grocery,POS,mobile_app,credit_card,US,personal,present,vip,small,signature,Thursday,visa,yahoo.com,0,13.993338292690186
15.82,859,39.94,1,11,13.27,11.98,22.72,15.8,28.9,0,1,0,0,365.2,13.8,6.4,15.5,0.914,13.4,7,509,3,3.84,2351,2,0,restaurant,mobile,mobile_app,debit_card,CA,personal,present,inactive,large,3d_secure,Wednesday,mastercard,gmail.com,0,14.020925325548903
71.19,1560,5.68,2,16,97.34,91.58,7.05,16.2,19.8,0,2,0,0,327.6,31.4,20.2,14.1,0.167,12.1,17,478,7,-20.39,2549,2,0,electronics,online,desktop,digital_wallet,US,personal,present,inactive,medium,pin,Friday,visa,gmail.com,0,14.563418477525678
51.63,1577,43.72,7,11,35.38,37.95,1.8,12.8,29.3,2,0,0,0,106.5,9.5,12.3,25,0.269,7,12,562,2,13.69,2315,3,0,online_services,online,desktop,credit_card,BR,student,not_present,regular,enterprise,none,Sunday,visa,gmail.com,0,14.67185600367258
26.21,1180,20.4,1,14,47.53,41.48,3.05,24.2,29.4,0,2,2,0,96.5,6.5,2.4,9.4,0.312,19.6,19,704,2,-15.28,2817,1,0,restaurant,ATM,mobile_app,digital_wallet,CN,personal,not_present,vip,large,signature,Monday,mastercard,outlook.com,0,14.710869083582576
3.95,1021,17.2,4,13,7.37,6.43,7.64,0,41.2,2,2,0,0,428.4,0,2.2,9.9,0.663,37,10,616,5,-2.48,1986,3,0,entertainment,online,desktop,credit_card,AU,personal,not_present,new,small,pin,Sunday,mastercard,hotmail.com,0,16.435608003816597
165.67,1215,27.05,1,9,106.98,104.99,8.9,19.7,1.2,0,2,0,0,247,37,16.3,24.5,0.228,13.7,5,471,3,60.67,1673,1,1,restaurant,POS,desktop,digital_wallet,US,premium,present,new,small,3d_secure,Friday,amex,gmail.com,0,18.39057360244408
19.44,858,21.47,3,7,54.02,60.79,2.61,9.1,12.5,0,2,0,0,268.5,12,1.6,1.2,0.147,24,15,26,9,-41.35,1616,2,0,restaurant,POS,mobile_app,credit_card,GB,student,present,regular,small,pin,Monday,amex,yahoo.com,0,19.348925914675547
17.96,986,25.2,1,6,32.54,28.41,0.45,0,8.7,1,1,0,0,56.5,10.5,15.1,9.7,0.419,7.6,8,478,5,-10.44,2163,2,0,gas_station,online,tablet,credit_card,RU,business,present,regular,small,pin,Wednesday,discover,yahoo.com,0,19.559632873457428
47.53,1048,22.28,1,17,37.53,36.96,47.74,28.3,0,0,2,0,0,416.3,65.8,0,3.1,0.052,29.1,6,641,6,10.57,3240,2,0,grocery,online,mobile_app,credit_card,AU,personal,present,regular,enterprise,none,Monday,mastercard,gmail.com,0,19.61924371615888
131.95,1439,25.08,2,5,142.56,136.15,8.25,2,0.9,1,0,0,1,228.9,12,26.9,23.1,0.264,13.7,16,496,2,-4.2,1719,3,0,grocery,mobile,mobile_browser,debit_card,BR,business,not_present,new,medium,biometric,Tuesday,amex,gmail.com,0,20.287839158756103
102.36,887,35.73,2,10,84.04,75.41,17.07,15,2.6,0,2,0,0,269.8,11.4,0,6.8,0.382,0,23,624,0,26.96,1523,2,0,grocery,mobile,tablet,digital_wallet,US,personal,present,vip,enterprise,signature,Saturday,amex,gmail.com,0,20.624291847455634
80.1,76,13.65,1,29,68.91,72.42,1.71,15.6,42,1,1,0,1,50.8,39.8,16.5,21.3,0.055,34.1,11,418,3,7.68,1908,3,0,gas_station,online,tablet,credit_card,CN,student,present,regular,medium,biometric,Thursday,mastercard,gmail.com,0,20.699780143149216
51.47,832,4.09,2,12,38.72,36.82,18.06,2.5,30.7,0,2,1,0,83.5,17.6,19.2,4.3,0.239,32.3,8,686,3,14.65,1759,2,1,restaurant,online,mobile_browser,credit_card,US,premium,present,new,enterprise,3d_secure,Saturday,visa,gmail.com,0,21.096237535467022
598.02,1706,15.31,2,18,40.05,16.35,15.78,15.6,11.9,0,2,0,0,273.5,8.7,3.1,0.4,0.518,5.8,17,613,9,581.68,2290,2,0,electronics,POS,mobile_app,bank_transfer,CN,business,present,new,small,biometric,Wednesday,visa,hotmail.com,0,21.11653389390424
13.05,1400,10.96,6,6,44.01,38.8,17.67,14.6,23.6,0,2,0,0,194.5,4.3,0,4.7,0.273,2.3,14,432,3,-25.76,1871,2,0,grocery,online,desktop,credit_card,GB,student,present,regular,small,3d_secure,Friday,mastercard,outlook.com,0,22.508779168592195
4.31,1379,0.43,1,11,10.8,12.17,19.48,0,4.4,0,2,0,0,219.6,0.9,17.7,46.8,0,21.1,13,413,4,-7.86,2507,1,0,grocery,POS,mobile_app,credit_card,US,student,present,regular,large,none,Tuesday,amex,other,0,22.682464679159793
16.19,904,12.34,2,7,11.74,10.47,275.32,21.2,76.9,1,1,0,0,400.9,12.3,0,21.1,0.111,7.5,12,412,4,5.72,2122,1,0,restaurant,ATM,mobile_browser,digital_wallet,FR,personal,not_present,vip,medium,none,Saturday,mastercard,gmail.com,0,23.312493042327482
15.15,1113,16.57,2,12,40.82,41.7,1.84,3.8,10.9,0,2,0,0,133.5,80.4,24.8,18.4,0.417,19.2,8,835,4,-26.55,2233,1,0,restaurant,mobile,tablet,debit_card,US,personal,not_present,inactive,large,none,Saturday,visa,other,0,23.529150059688902
395.19,892,1.39,2,8,491.81,434.56,16.12,18.2,2.1,1,7,1,0,204.9,7.1,26.7,0,0.372,0,10,748,6,-39.37,2249,1,0,grocery,mobile,mobile_app,credit_card,US,personal,present,regular,small,3d_secure,Wednesday,amex,gmail.com,0,23.954934379316256
47.36,1036,4.44,2,10,48.87,45.51,1.31,0.8,12.3,0,1,0,1,405.3,27.9,9.7,27.2,0.177,14.6,12,408,4,1.85,77,2,0,travel,mobile,mobile_app,debit_card,CN,business,not_present,regular,small,3d_secure,Tuesday,visa,yahoo.com,0,24.41384418
47.68,862,20.79,4,6,52.57,52.08,0.52,0,46.7,0,2,0,1,309.4,30.6,13.7,2,0.308,47.7,10,769,5,-4.4,2052,1,0,gas_station,online,mobile_app,credit_card,GB,business,present,vip,medium,signature,Thursday,discover,other,0,24.532389569860285
7.34,963,22.46,2,8,8.98,9.85,13.7,12.3,34.3,0,4,0,0,266.7,5.5,23.9,8,0.181,16.1,11,625,2,-2.52,1999,2,0,clothing,POS,mobile_app,debit_card,US,student,present,regular,small,pin,Friday,amex,yahoo.com,0,26.558217706847298
40.95,1242,20.19,1,27,55.08,58.34,1.48,0,27.2,2,1,0,0,320.4,4.3,4.6,19.1,0.25,2.7,15,512,5,-17.4,1594,4,0,gas_station,online,mobile_browser,digital_wallet,GB,student,not_present,new,medium,pin,Thursday,visa,gmail.com,0,27.42372002558742
6.76,1084,29.8,0,8,13.87,14.06,8.85,26.1,18.1,0,1,0,0,356.8,13.3,0,6.2,0.247,0,10,700,5,-7.3,1904,2,0,online_services,online,mobile_app,debit_card,CN,personal,not_present,regular,medium,pin,Friday,amex,outlook.com,0,29.05067478877654
26.81,1806,11.05,3,6,19.68,20.81,18.75,25.8,1.7,0,4,0,0,88.9,9.7,5.9,4,0.022,27,11,609,6,6,1905,1,0,gas_station,POS,desktop,debit_card,US,personal,not_present,regular,small,3d_secure,Tuesday,amex,gmail.com,0,30.356922947346373
29.19,1048,10.11,3,13,26.14,26.36,15.4,13.7,41.4,0,3,0,0,223.2,10.7,3.6,8.8,0.229,19,9,416,3,2.84,1617,1,0,travel,online,unknown,digital_wallet,US,business,not_present,regular,medium,pin,Tuesday,discover,hotmail.com,0,30.88533450652867
71.22,895,19.25,3,11,74.82,77.72,7.99,7.4,11.1,0,3,0,0,301.9,16.5,9.5,8.3,0.355,22.7,6,819,4,-6.5,1532,2,0,grocery,POS,mobile_app,debit_card,CA,personal,not_present,regular,medium,biometric,Wednesday,visa,outlook.com,0,32.36400702650493
57.12,955,12.62,1,10,41.03,36.27,56,19.4,29.3,1,3,2,0,149.5,13,5.2,7.8,0.266,18.8,18,647,5,20.85,1942,1,0,grocery,ATM,desktop,credit_card,CA,business,present,vip,small,3d_secure,Thursday,visa,gmail.com,0,32.41774719269774
145.14,1494,17.75,0,11,84.81,90.6,1.99,0,18.6,1,2,0,1,537.8,9.7,3.1,22.5,0.465,55.7,5,451,4,54.54,1847,3,1,restaurant,online,desktop,digital_wallet,US,personal,not_present,vip,large,biometric,Wednesday,visa,yahoo.com,0,32.54426531558387
7.98,901,26.43,4,8,13.43,11.85,7.67,18.3,22.5,0,1,0,0,136.1,0,7.5,17,0.116,27.7,17,573,11,-3.88,2631,2,0,restaurant,ATM,desktop,bank_transfer,GB,personal,not_present,regular,enterprise,pin,Sunday,mastercard,protonmail.com,0,32.57110885568223
32.93,840,6.86,0,13,25.67,27.75,68.86,28.9,22.8,2,0,1,0,663.9,30.5,5,5.5,0.241,21.1,6,441,4,5.18,1622,3,0,electronics,POS,mobile_browser,digital_wallet,US,business,not_present,inactive,small,pin,Friday,amex,gmail.com,0,32.79935746602802
19.41,1872,0.99,4,8,15.16,15.45,52.72,0,24.8,0,3,0,0,19.4,17.7,8.9,6.7,0.366,25.4,0,414,1,3.96,1703,2,0,gas_station,online,mobile_browser,credit_card,US,premium,not_present,vip,medium,signature,Thursday,amex,outlook.com,0,33.08479303526867
78.72,1209,37.39,0,12,115.21,105.28,2.9,9.3,11.2,0,1,0,0,483.2,21.6,12.8,36.1,0.508,16.4,17,641,4,-26.56,1733,3,0,grocery,mobile,desktop,credit_card,GB,personal,present,new,large,pin,Saturday,discover,yahoo.com,0,33.26839809232979
29.34,1860,9.2,1,9,20.43,20.74,3.72,3.9,31.2,0,0,0,0,540.6,13.1,6,15.3,0.38,26.5,10,557,0,8.6,2830,2,0,grocery,ATM,tablet,bank_transfer,US,personal,not_present,vip,small,pin,Monday,discover,other,0,34.29184165416953
9.69,988,0.44,3,13,31.71,27.76,30.87,33.2,23.6,0,2,0,0,199.1,17.5,6.7,16.1,0.386,17.8,14,431,1,-18.07,1646,4,0,restaurant,POS,mobile_browser,credit_card,US,business,not_present,new,medium,signature,Thursday,visa,outlook.com,0,34.547753313896855
6.97,950,22.19,2,26,12.68,13.65,4.89,18.6,27.2,0,1,0,0,1424.3,15.7,7.5,13,0.33,2.9,20,686,4,-6.68,1523,1,0,grocery,POS,unknown,debit_card,US,personal,present,inactive,medium,3d_secure,Friday,visa,outlook.com,0,34.73903896117472
64,1113,34.71,2,11,56.88,54.49,0.41,72.5,0,0,4,0,0,207.3,13.1,2.4,24.6,0.114,0,9,438,1,9.51,1625,1,0,gas_station,online,desktop,debit_card,DE,personal,present,vip,enterprise,3d_secure,Friday,visa,outlook.com,0,35.19283506943521
306.74,1128,21.25,1,6,92.35,45.23,2.9,12.1,22.3,0,3,0,0,167.4,9.1,58.4,53.5,0.805,22.9,16,482,5,261.5,2401,3,0,grocery,POS,desktop,credit_card,NG,personal,present,regular,small,3d_secure,Wednesday,visa,gmail.com,0,35.28093599517118
55.81,96,40.24,1,13,38.05,34.43,23.68,21.3,5.5,0,3,0,0,261.8,25.9,0,12.4,0,8.9,10,742,2,21.38,2795,1,1,gas_station,online,mobile_app,digital_wallet,RU,personal,present,vip,large,3d_secure,Friday,mastercard,outlook.com,0,36.22081648072052
70.93,1469,17.58,3,14,89.95,95.95,21.06,0,13.1,2,3,0,1,161.5,8.6,5.7,0,0.361,24.7,21,637,3,-25.02,2298,1,0,electronics,mobile,desktop,debit_card,FR,student,present,vip,medium,pin,Wednesday,visa,outlook.com,0,36.26575248463108
90.32,884,6.11,2,15,49.56,57.81,28,18,13.3,2,0,0,3,539.1,16.7,3.4,10.2,0.509,67.5,12,507,2,32.51,1743,3,0,gas_station,online,mobile_app,credit_card,US,personal,not_present,vip,large,3d_secure,Friday,mastercard,gmail.com,0,38.77955736159173
15.63,1077,9.62,2,18,12.47,12.96,31.26,17.7,33.6,1,3,0,1,170.4,3.3,3.2,22.5,0.425,13.5,13,24,6,2.67,2164,3,0,grocery,online,desktop,digital_wallet,NG,premium,present,regular,enterprise,pin,Thursday,amex,other,0,39.63765795
8.27,972,17.05,2,12,22.14,24.13,10.71,26,5.8,0,1,0,0,300.7,17.2,3.3,22,0.303,0,0,489,2,-15.86,4034,3,0,grocery,POS,desktop,credit_card,GB,personal,present,new,small,signature,Tuesday,mastercard,gmail.com,0,39.76615082730522
89.03,1508,16.52,0,10,62.48,60.87,10.21,17.2,75.9,1,3,1,3,256.7,13.1,8.6,19.9,0.313,10.6,15,644,1,28.16,2675,2,0,grocery,online,desktop,credit_card,RU,personal,present,new,small,biometric,Monday,visa,hotmail.com,0,39.769362531123264
40.57,1265,8.06,4,11,36.91,37.97,3.83,20.4,25.2,0,1,0,0,96,9.9,20.9,19.7,0.274,42.1,10,457,4,2.6,3260,3,0,entertainment,POS,mobile_browser,credit_card,CA,personal,not_present,regular,medium,3d_secure,Friday,mastercard,outlook.com,0,40.74950266206522
15.81,1314,35.09,2,17,30.22,31.95,1.47,20.2,11,0,3,0,0,277.9,5.4,14.5,24.8,0.504,21,13,421,6,-16.14,86,3,0,electronics,POS,tablet,digital_wallet,NG,business,not_present,regular,medium,signature,Monday,mastercard,other,0,41.461218288349706
68.72,996,28.73,2,7,63.28,61.99,9.69,2.8,15.4,1,1,0,0,97.5,14.6,10.9,18.7,0.364,14.3,23,425,6,6.73,2784,2,0,entertainment,POS,tablet,debit_card,US,premium,present,regular,large,pin,Sunday,mastercard,gmail.com,0,42.218502775446744
13.43,817,11.57,6,8,23.32,24.15,66.65,30.8,9.4,0,0,0,1,592.7,3.2,2.6,5.5,0.136,10.4,2,426,2,-10.72,1941,2,0,electronics,POS,desktop,debit_card,IN,business,present,new,medium,biometric,Friday,visa,yahoo.com,0,43.074127200551985
7.73,100,21.52,0,9,7.71,8.71,8.78,18.5,0,2,2,0,1,431.7,9.6,9.6,12.7,0.417,5.2,21,519,3,-0.98,1544,1,0,restaurant,POS,mobile_browser,credit_card,US,business,present,regular,small,biometric,Tuesday,mastercard,outlook.com,0,43.11874617454998
16.28,953,34.81,2,15,18.65,17.75,6.73,18.6,18.3,0,2,0,0,121.3,3.6,0,2.8,0.338,0,11,589,8,-1.47,1680,2,0,entertainment,mobile,tablet,credit_card,JP,personal,present,regular,medium,signature,Saturday,mastercard,hotmail.com,0,43.37620392
19.2,985,24.83,1,14,20.12,21.03,22.28,21.6,15.3,1,1,0,0,125.7,32.8,7.7,10.2,0.386,23.1,11,449,7,-1.83,1582,1,0,restaurant,POS,mobile_app,debit_card,DE,personal,not_present,vip,medium,pin,Thursday,visa,hotmail.com,0,43.44763098522198
108.8,984,34.71,1,9,84.87,77.88,1.07,21.9,30.3,2,2,0,5,445.5,8.4,54.5,18.2,0.027,27.4,14,796,5,30.92,1805,2,0,gambling,mobile,mobile_app,bank_transfer,BR,personal,not_present,vip,large,3d_secure,Monday,visa,gmail.com,0,44.600978136783745
197.3,1509,22.04,3,8,186.97,173.36,3.87,22.8,4.9,0,1,0,2,107.9,0,30,5.5,0.729,19.7,4,776,3,23.94,1763,2,0,grocery,online,desktop,credit_card,JP,personal,not_present,vip,enterprise,pin,Tuesday,mastercard,gmail.com,0,45.167232827976925
65.91,1385,12.64,1,9,38.54,24.77,2.13,7.1,27.5,5,3,0,0,193.1,13.1,13.4,15.6,0.276,1.5,12,618,2,41.15,2051,2,0,grocery,POS,tablet,debit_card,BR,student,not_present,regular,medium,pin,Monday,discover,gmail.com,0,45.40028773270268
19.77,1460,22.89,3,9,21.28,21.92,24.01,25,10.1,0,2,0,0,265,13.8,3.5,16.4,0.295,2.3,17,689,2,-2.15,1652,1,0,gas_station,online,desktop,credit_card,US,student,present,regular,enterprise,none,Wednesday,amex,outlook.com,0,45.43837521086945
18.74,946,35.74,2,9,14.47,14.93,6.13,0,17.6,0,1,0,1,158.9,24,22.3,18.9,0.755,21.1,17,25,3,3.81,1874,2,0,clothing,online,mobile_browser,debit_card,US,personal,present,regular,large,none,Saturday,discover,yahoo.com,0,45.65441845410746
26.95,137,22.35,9,7,33.45,37.09,0.6,11.8,18.7,0,1,0,1,252.1,19.3,7.1,25.1,0.525,4.4,8,601,3,-10.13,2027,2,2,restaurant,POS,mobile_app,credit_card,US,business,present,new,small,3d_secure,Friday,visa,yahoo.com,0,45.88254069775425
130.78,1387,30.33,2,9,115.97,116.38,5.92,0,47.9,1,2,3,1,353.5,22,4.4,6.2,0.381,6.2,4,35,2,14.4,1697,2,0,restaurant,online,mobile_app,digital_wallet,CN,personal,not_present,vip,small,3d_secure,Tuesday,mastercard,hotmail.com,0,46.64110865244974
26.94,1097,5.41,1,10,26.52,26.2,8.11,24.3,26.9,0,2,0,0,456.7,17.2,25.5,15.6,0.377,13.8,20,576,12,0.75,1763,2,0,restaurant,POS,desktop,debit_card,IN,business,not_present,regular,medium,signature,Wednesday,amex,other,0,47.22974448062683
14.69,101,24.78,1,6,18.46,21.61,1.54,13.7,6.7,0,0,0,0,175.4,13.9,13.3,8.8,0.377,0,12,561,3,-6.92,75,2,0,gas_station,online,desktop,credit_card,DE,business,present,new,medium,biometric,Wednesday,visa,protonmail.com,0,48.495450589819704
104.03,1181,9.86,2,9,255.3,242.45,1.01,19.6,18,2,0,0,0,858.1,9.4,0,5,0,23.6,15,782,4,-138.42,2143,1,0,clothing,mobile,desktop,credit_card,BR,personal,not_present,new,medium,pin,Sunday,mastercard,gmail.com,0,48.86610894717796
9.27,1561,8.92,2,13,9.51,8.37,14.6,34,31.1,0,1,0,1,444.9,17.9,10.6,14.8,0.19,10,16,430,10,0.9,2220,2,0,grocery,mobile,mobile_browser,digital_wallet,BR,personal,present,regular,enterprise,pin,Thursday,visa,yahoo.com,0,48.93998493547495
166.6,1154,3.6,4,6,95.38,102.74,2.4,2.7,21,0,3,0,0,243.8,11.3,7.5,15.8,0.341,20,15,555,9,63.86,2273,1,0,restaurant,POS,mobile_browser,credit_card,US,premium,present,regular,small,pin,Friday,amex,outlook.com,0,49.66447821517858
